"Lihue, Kauai", HI (LIH)
Lincoln, NE (LNK)
Little Rock, AR (LIT)
Long Beach, CA (LGB)
Longview, TX (GGG)
Los Angeles, CA (QLA)
Los Angeles, CA (LAX)
Louisville, KY (SDF)
Lubbock, TX (LBB)
Lynchburg, VA (LYH)
Macon, GA (MCN)
Madison, WI (MSN)
Manchester, NH (MHT)
Manhattan, KS (MHK)
Manistee, MI (MBL)
Marion, IL (MWA)
Marquette, MI (MQT)
Martha's Vineyard, MA (MVY)
Mason City, IA (MCW)
Massena, NY (MSS)
McAllen, TX (MFE)
McCook, NE (MCK)
Medford, OR (MFR)
Melbourne, FL (MLB)
Memphis, TN (MEM)
Meridian, MS (MEI)
Miami, FL (MIA)
Midland, TX (MAF)
Miles City, MT (MLS)
Milwaukee, WI (MKE)
Minneapolis, MN (MSP)
Minot, ND (MOT)
Missoula, MT (MSO)
Mobile, AL (MOB)
Modesto, CA (MOD)
Moline, IL (MLI)
Monroe, LA (MLU)
Monterey, CA (MRY)
Montgomery, AL (MGM)
Montrose, CO (MTJ)
Morgantown, WV (MGW)
Moses Lake, WA (MWH)
Muscle Shoals, AL (MSL)
Muskegon, MI (MKG)
Myrtle Beach, SC (MYR)
Nantucket, MA (ACK)
Naples, FL (APF)
Nashville, TN (BNA)
New Bern, NC (EWN)
New Haven, CT (HVN)
New Orleans, LA (MSY)
New York, NY (JFK)
New York, NY (NYC)
New York, NY (LGA)
Newark, NJ (EWR)
Newburgh, NY (SWF)
Newport News, VA (PHF)
Nome, AK (OME)
Norfolk, VA (ORF)
North Bend, OR (OTH)
North Platte, NE (LBF)
Oakland, CA (OAK)
Ogdensburg, NY (OGS)
Oklahoma City, OK (OKC)
Omaha, NE (OMA)
Ontario, CA (ONT)
Orange County, CA (SNA)
Orlando, FL (MCO)
Oshkosh, WI (OSH)
Owensboro, KY (OWB)
Oxnard, CA (OXR)
Paducah, KY (PAH)
Page, AZ (PGA)
Palm Springs, CA (PSP)
Panama City, FL (PFN)
Parkersburg, WV (PKB)
Pasco, WA (PSC)
Pellston, MI (PLN)
Pendleton, OR (PDT)
Pensacola, FL (PNS)
Peoria, IL (PIA)
Philadelphia, PA (PHL)
Phoenix, AZ (PHX)
Pierre, SD (PIR)
Pinehurst, NC (SOP)
Pittsburgh, PA (PIT)
Pocatello, ID (PIH)
Ponca City, OK (PNC)
Portland, ME (PWM)
Portland, OR (PDX)
Portsmouth, NH (PSM)
Prescott, AZ (PRC)
Presque Isle, ME (PQI)
Providence, RI (PVD)
Provincetown, MA (PVC)
Pueblo, CO (PUB)
Pullman, WA (PUW)
Quincy, IL (UIN)
Raleigh, NC (RDU)
Rapid City, SD (RAP)
Redding, CA (RDD)
Redmond, OR (RDM)
Reno, NV (RNO)
Rhinelander, WI (RHI)
Richmond, VA (RIC)
Riverton, WY (RIW)
Roanoke, VA (ROA)
Rochester, MN (RST)
Rochester, NY (ROC)
Rock Springs, WY (RKS)
Rockford, IL (RFD)
Rockland, ME (RKD)
Roswell, NM (ROW)
